"id","company_name","group_id","legal_name","domain","email"
"0","Owens Liquors","0","N","owensliquors.com","N"
"1","Club Tarneit","1","N","clubtarneit.com.au","N"
"2","AAA Auto Otrokovice Zlín","2","N","aaaauto.cz","N"
"3","Gisinger GmbH","3","Gisinger GmbH","N","N"
"4","Kasana Life","4","N","N","N"
"5","BAM BROW & MAKEUP STUDIO","5","N","bammakeupstudio.com.au","N"
"6","Tescoma","6","N","tescoma.hu","N"
"7","Happyweddings | No.1 Matrimony Trivandrum Kerala","7","N","happyweddings.com","N"
"8","Dental Planet Manukau","8","N","dentalplanet.co.nz","N"
"9","Drake Design Photography","9","N","kdrakephoto.com","N"
"10","PIERMARQ","10","N","piermarq.com.au","N"
"11","Fran Ortiz Retratista","11","N","franortiz.com","franortiz@franortiz.com"
"12","HEBAN","12","N","heban.pl","N"
"13","Woods Cross UT 84087","13","N","stocknlock.net","wxstorage@gmail.com"
"14","CENTRO DE DIA QUIMEY CO Gral","14","N","centrosquimeyco.com.ar","rrhh@centrosquimeyco.com.ar"
"15","Palestra di Arrampicata Augusto Pagliarusco","15","N","caimontecchiomaggiore.it","N"
"16","L'atelier Creatik","16","N","l-atelier-creatik.fr","N"
"17","A Dog Wash","17","N","dogwash.net","N"
"18","SINA COVA Hotel Nikko Osaka","18","N","sinacova.co.jp","N"
"19","N","19","N","mediatects.de","N"
"20","Prevailing Winds Lodge","20","N","prevailingwindslodge.com","N"
"21","Wasco Nursery","21","N","wasconursery.com","N"
"22","Andrea Veramonti Design Studio","22","N","andreaveramonti.it","N"
"23","IXOM","23","N","ixom.com","N"
"24","Ellis Cabinet & Millwork","24","N","elliscabinet.com","N"
"25","Goodlife Adult Day Care","25","N","goodlifedaycare.com","N"
"26","Ula Builders LLC.","26","Ula Builders LLC.","ulabuilders.com","N"
"27","Valantic","27","N","valantic.com","N"
"28","HORSHAM FIRE COMPANY","28","HORSHAM FIRE COMPANY","N","N"
"29","North Carolina Coastal Federation","29","N","nccoast.org","N"
"30","Headway East London","30","N","headwayeastlondon.org","N"
"31","Dr Piave","31","Zafari Inc.","drpiave.com","N"
"32","NISI GROUP SRL - Stabilimento di Ronco Briantino","32","N","nisigroup.it","N"
"33","Step Ahead Recruitment","33","N","stepaheadrecruitment.com","N"
"34","Hensleigh Wooden Flooring","34","N","hensleigh-wooden-flooring.co.uk","N"
"35","Mkare Maden Ürünleri","35","N","m2mining.com","N"
"36","NOB","36","NOB NET ON BRAZIL LTDA","nob.com.br","N"
"37","RSPCA Radcliffe-on-Trent Animal Centre","37","N","rspca-radcliffe.org.uk","info@rspca-radcliffe.org.uk"
"38","AUDIOBRAIN LLC.","38","AUDIOBRAIN LLC.","audiobrain.com","N"
"39","Bello Skin Co™","39","N","belloskinco.com","N"
"40","Joel Loblaw Inc.","40","Joel Loblaw Inc.","N","N"
"41","Pretty Pale","41","Pretty Pale Inc.","prettypale.com","info@sundicators.com"
"42","Fid demenagement","42","N","fid-demenagement.fr","demefid@wanadoo.fr"
"43","Ordine degli Ingegneri della Provincia di Cremona","43","N","ording.cr.it","N"
"44","Pingyao Cheng Jia Hotel","44","N","pingyao-cheng-jia-hotel.booked.net","support@booked.net"
"45","Gruppo CAE","45","N","gruppocae.it","N"
"46","Ultra Manly","46","N","ultrapetroleum.com.au","N"
